mrl,mrl_formatted,jmpr,ccpr,prior_ccpr,cac_year,lod,source_of_res,fat_ph,tev,footnote,footnote_ccpr,pesticide,commodity_code,commodity_name
0.02,0.02 mg/Kg,,,,,(*),,,E,,,Chlordane,AO2 0003,Fruits and vegetables
0.01,0.01 mg/Kg,,31,,1999,(*),,Po,,To apply to commodity at point of retail sale or when offered for consumption,,Methyl Bromide,AO4 0001,Milled cereals products
1.0,1 mg/Kg,,31,,1999,,,Po,,"To apply at point of entry into a country and, in case of cereal for milling, if product has been freely exposed to air for a period of at least 24 h after fumigation and before",,Methyl Bromide,AO4 0001,Milled cereals products
0.01,0.01 mg/Kg,,31,,1999,(*),,Po,,To apply to commodity at point of retail sale or when offered for consumption,,Methyl Bromide,AO6 0001,Cocoa products
7.0,7 mg/Kg,2016,49,,2017,,,(dw),,,,Fluazifop-p-butyl,AL 0061,Bean fodder
1.0,1 mg/Kg,12,45,,2013,,,,,,,Glufosinate-Ammonium,AL 0061,Bean fodder
10.0,10 mg/Kg,99,35,"33, 34",2003,,,,,,Recommended for withdrawal,Clethodim,AL 0061,Bean fodder
10.0,10 mg/Kg,1,37,34-36,2005,,,,,,,Methomyl,AL 0061,Bean fodder
0.3,0.3 mg/Kg,2016,49,,2017,,,(dw),,,,Pendimethalin,AL 0061,Bean fodder
0.01,0.01 mg/Kg,2014,47,,2015,(*),,,,,,Sedaxane,AL 0061,Bean fodder
0.01,0.01 mg/Kg,5,38,,2006,(*),,,,,,Dimethenamid-P,AL 0061,Bean fodder
2.0,2 mg/Kg,8,41,,2009,,,,,,,Cypermethrins (including alpha- and zeta- cypermethrin),AL 0061,Bean fodder
40.0,40 mg/Kg,2015,48,,2016,,,(DM),,,(DM) = dry matter,Cyantraniliprole,AL 0061,Bean fodder
70.0,70 mg/Kg,2017,50,,2018,,,,,,,Fluopyram,AL 0061,Bean fodder
200.0,200 mg/Kg,5,38,,2006,,,,,,,Glyphosate,AL 0061,Bean fodder
20.0,20 mg/Kg,2013,46,,2014,,,,dry wt,,,Azoxystrobin,AL 0072,Pea hay or pea fodder (dry)
