name,pest_id_codex,pesticide,adi,adi_unit,adi_note,vetd_flag,residue,note
Insecticide,12,Chlordane,0.0005,mg/kg bw,(1986) converted to PTDI (1994),N,Plant commodities: Sum of cis- and trans-chlordane (fat-soluble). Animal commodities: Sum of cis- and trans-chlordane and oxychlordane(fat-soluble).,
Fumigant,52,Methyl Bromide,,mg/kg bw,,N,,Not cleared toxicologically by JMPR.
Herbicide,283,Fluazifop-p-butyl,0-0.004,mg/kg bw,(2016),,"For compliance with MRLs for plant commodities: Total fluazifop, defined as the sum of fluazifop-P-butyl, fluazifop-P-acid (II) and their conjugates, expressed as fluazifop-P-acid. For dietary risk assessment for plant commodities: Sum of fluazifop-P-butyl, fluazifop-P-acid (II), 2-[4-(3-hydroxy-5-trifluoromethyl-2-phenoxy)pyridyloxy] propionic acid (XL), 5-trifluoromethyl-2-pyridone (X) and their conjugates, expressed as fluazifop-P-acid. For compliance with MRLs and for dietary risk assessment for animal commodities: Total fluazifop, defined as the sum of fluazifop-P-butyl, fluazifop-P-acid (II) and their conjugates, expressed as fluazifop-P-acid. The residue is fat soluble.",The information provided to JMPR precludes an estimate that the dietary exposure would be below the ADI.
Herbicide,175,Glufosinate-Ammonium,0-0.01,mg/kg bw,(2012),N,"For compliance with MRL and for estimation of dietary intake for animal and plant commodities: Sum of glufosinate, 3-[hydroxy(methyl)phosphinoyl]propionic acid and N-acetyl-glufosinate, calculated as glufosinate (free acid). The residue is not fat soluble.",
Herbicide,187,Clethodim,0-0.2,mg/kg bw,(2019).,N,"Definition of the residue for compliance with the MRL for plant commodities: Sum of clethodim and its metabolites convertible to dimethyl 3-[2-(ethylsulfonyl)propyl]-pentanedioate (DME) and dimethyl 3-[2-(ethylsulfonyl)propyl]-3-hydroxy-pentanedioate (DME-OH), expressed as clethodim. Definition of the residue for compliance with the MRL for animal commodities: Sum of clethodim and its metabolites convertible to dimethyl 3-[2-(ethylsulfonyl)propyl]-pentanedioate (DME), expressed as clethodim. Definition of the residue for dietary risk assessment for plant and animal commodities: A conclusion could not be reached. The residue is fat-soluble.",
Insecticide,94,Methomyl,0.02,mg/kg bw,(2001),N,"For compliance with MRLs and for estimation of dietary intake for plant and animal commodities: Sum of methomyl and thiodicarb, expressed as methomyl. MRLs related to methomyl and (154) thiodicarb are combined into a single list.",
Herbicide,292,Pendimethalin,0-0.1,mg/kg bw,(2016),,For compliance with the MRL and for dietary risk assessment for plant and animal commodities: Pendimethalin.The residue is fat soluble.,
Fungicide,259,Sedaxane,0-0.1,mg/kg bw,(2012),N,For compliance with the MRL and for estimation of dietary intake for plant and animal commodities: Sedaxane. The residue is fat-soluble.,
Herbicide,214,Dimethenamid-P,0-0.07,mg/kg bw,The ADI and the ARfD apply to dimethenamid-P and the racemic dimethenamid (JMPR 2005).,N,For compliance with MRLs and for estimation of dietary intake: Dimethenamid-P and its enantiomer. This definition applies to both plant and animal commodities. The residue definition could apply to residues arising from the use of either dimethenamid-P or dimethanamid.,
Insecticide,118,Cypermethrins (including alpha- and zeta- cypermethrin),0-0.02,mg/kg bw,"Group ADI for cypermethrins, including alpha-cypermethrin and zeta-cypermethrin (2006)",Y,For compliance with the MRL and for estimation of dietary intake for plant and animal commodities: Cypermethrin (sum of isomers). The residue is fat soluble.,"Group ADI for cypermethrins, including alpha-cypermethrin and zeta-cypermethrin. Group ARfD for cypermethrins, including alpha-cypermethrin and zeta-cypermethrin. Source of data supporting the proposed MRLs: a: alpha-cypermethrin. c: cypermethrin. z: zeta-cypermethrin. Capital letters show the source of data responsible for the MRL estimate. Small letters show the sources of other data for that commodity."
