mrl,mrl_formatted,jmpr,ccpr,prior_ccpr,cac_year,lod,source_of_res,fat_ph,tev,footnote,footnote_ccpr,step,pesticide,commodity_code,commodity_name
0.02,0.02 mg/Kg,,,,,,,,E,,,CXL,Chlordane,PE 0112,Eggs
0.02,0.02 mg/Kg,,,,,,,,E,,,CXL,Chlordane,TN 0672,Pecan
0.5,0.5 mg/Kg,,,,,,,(fat),E,,,CXL,Chlordane,PM 0110,Poultry meat
0.02,0.02 mg/Kg,,,,,,,,E,,,CXL,Chlordane,TN 0660,Almonds
0.02,0.02 mg/Kg,,,,,,,,E,,,CXL,Chlordane,TN 0666,Hazelnuts
0.02,0.02 mg/Kg,,,,,,,,E,,,CXL,Chlordane,GC 0651,Sorghum grain
0.02,0.02 mg/Kg,,,,,(*),,,E,,,CXL,Chlordane,AO2 0003,Fruits and vegetables
0.05,0.05 mg/Kg,,,,,,,,E,,,CXL,Chlordane,OC 0693,"Linseed oil, crude"
0.02,0.02 mg/Kg,,,,,,,,E,,,CXL,Chlordane,CM 1205,"Rice, polished"
0.02,0.02 mg/Kg,,,,,,,,E,,,CXL,Chlordane,GC 0654,Wheat
0.05,0.05 mg/Kg,,,,,,,(fat),E,,,CXL,Chlordane,MM 0095,Meat (from mammals other than marine mammals)
0.02,0.02 mg/Kg,,,,,,,,E,,,CXL,Chlordane,TN 0678,Walnuts
0.02,0.02 mg/Kg,,,,,,,,E,,,CXL,Chlordane,GC 0645,Maize
0.002,0.002 mg/Kg,,,,,,,F,E,,,CXL,Chlordane,ML 0106,Milks
0.02,0.02 mg/Kg,,,,,,,,E,,,CXL,Chlordane,GC 0647,Oats
0.02,0.02 mg/Kg,,,,,,,,E,,,CXL,Chlordane,OR 0541,"Soya bean oil, refined"
0.02,0.02 mg/Kg,,,,,,,,E,,,CXL,Chlordane,GC 0650,Rye
0.05,0.05 mg/Kg,,,,,,,,E,,,CXL,Chlordane,OC 0541,"Soya bean oil, crude"
0.05,0.05 mg/Kg,,,,,,,,E,,,CXL,Chlordane,OC 0691,"Cotton seed oil, crude"
0.01,0.01 mg/Kg,,31,,1999,(*),,Po,,To apply to commodity at point of retail sale or when offered for consumption,,CXL,Methyl Bromide,AO4 0001,Milled cereals products
1.0,1 mg/Kg,,31,,1999,,,Po,,"To apply at point of entry into a country and, in case of cereal for milling, if product has been freely exposed to air for a period of at least 24 h after fumigation and before",,CXL,Methyl Bromide,AO4 0001,Milled cereals products
0.01,0.01 mg/Kg,,31,,1999,(*),,Po,,To apply to commodity at point of retail sale or when offered for consumption,,CXL,Methyl Bromide,DF 0167,Dried fruits
0.01,0.01 mg/Kg,,31,,1999,(*),,Po,,To apply to commodity at point of retail sale or when offered for consumption,,CXL,Methyl Bromide,TN 0085,Tree nuts (group)
